sub_department_description,category_description,total_sales,total_qty,total_cost,distinct_products
Meat,Smoked Meat Bacon,13520.37,2816.0,12342.056458333333,19
Meat,Smoked Meat Bologna,1561.03,712.0,1444.0,4
Meat,Smoked Meat Lunch Meats,668.94,96.0,489.5999999999999,2
Meat,Smoked Meat Sausage,1704.95,351.0,1313.27,4
Meat,Smoked Meat Smoked Sausage,1845.44,436.0,1322.5910000000001,5
Meat,Smoked Meat Wieners,4355.42,2645.0,4589.74,7
Meat,Smoked Meats Entrees,736.9000000000001,100.0,634.5333333333333,2
Meat,Smoked Meats Lunchables Protei,1035.0500000000002,797.0,858.9233333333334,3
Meat,Smoked Meats Shaved Lunchmeats,352.19,61.0,248.27,1
Meat,Smoked Meats Side Dishes,1465.45,315.0,1061.55,2
Meat by #,BEEF GRILLING STEAKS,7513.11,541.0,5.41,5
Meat by #,BEEF ROASTS,2910.3199999999997,193.0,42.519999999999996,4
Meat by #,Fresh Meat Beef,7034.48,1082.0,10.82,9
Meat by #,Fresh Meat Chicken,14845.44,1687.0,16.87,12
Meat by #,Fresh Meat Ground Beef,44595.75,3943.0,39.43,10
Meat by #,Fresh Meat Pork Boneless Loin,3231.27,649.0,6.49,7
Meat by #,Fresh Meat Pork Boston Butt,2349.2400000000002,182.0,1.82,4
Meat by #,Fresh Meat Pork Loin,1749.81,205.0,2.05,4
Meat by #,Fresh Meat Pork Spare Rib,2296.96,173.0,1.73,2
Meat by #,Holiday Hams,3022.13,145.0,1.4500000000000002,4
Meat by #,MEAT MISC,1106.57,29.0,0.29,1
Meat by #,Smoked Meat Sausage,326.91,84.0,0.84,1
Meat by #,WHOLE BEEF,1293.92,16.0,0.16,1
Meat by #,WHOLE PORK,8396.58,629.0,6.29,3
Nonfood,CHARCOAL INSTANT LIGHT,472.77,37.0,439.93,1
Nonfood,CHARCOAL LARGE BAG,459.75,42.0,499.38,1
Nonfood,DISPOSABLE DISHES,313.18,42.0,220.29,1
Nonfood,PAPER TOWELS,617.58,38.0,519.48,1
Nonfood,PROPANE,1097.6499999999999,35.0,717.5,2
Nonfood,REGRIGERATED DOG FOOD,792.86,36.0,695.745,2
Nonfood,TOILET TISSUE,397.18,32.0,309.92,1
Outdoor Equipment and Power To,GAS POWER MOWERS (ACE),998.0,2.0,828.9,2
Outdoor Equipment and Power To,TRIMMERS/EDGERS/BLOWERS (ACE),648.0,2.0,515.13,2
Outdoor Living and Furniture,GRILLS/OUTDOOR COOKERS (ACE),3548.86,7.0,2682.58,6
Paint and Paint Supplies,LIQUID PAINT - NATIONAL (ACE),795.8999999999999,10.0,418.0,2
Power Tools,CONSUMER POWER TOOLS (ACE),1110.0,10.0,930.52,2
Power Tools,HEAVY-DUTY POWER TOOLS (ACE),1673.0,7.0,1434.36,4
Produce,DRESSINGS,418.66,84.0,290.5,1
Produce,FRUIT PRECUT FRESH,902.69,155.0,155.0,1
Produce,PRODUCE MISC,1291.83,67.0,66.0,3
Produce,RUSSET,843.44,286.0,348.5625,1
Produce,SALADS PRECUT FRESH,334.84000000000003,56.0,0.56,1
Produce by #,RUSSET IDAHO,484.33,263.0,141.63,1
Soft Drinks,MISC WATER SOFT DRINKS MIXES,36625.700000000004,8915.0,31962.611249999998,30
Soft Drinks,NEW AGE TEAS,917.23,122.0,672.0,2
Soft Drinks,SOFT DRINKS REGULAR,1300.3400000000001,193.0,1333.4,3
Soft Drinks,SPORT DRINKS-LIQUID,632.73,87.0,616.0,2
Sporting Goods,BIRD PRODUCTS (ACE),440.7,30.0,176.4,1
Taxable Grocery,MISC WATER SOFT DRINKS MIXES,754.6600000000001,93.0,637.56,1
Taxable Grocery,PACKAGED CANDY,617.57,91.0,511.83708333333334,1
Wic Dairy,EGGS FRESH,6431.33,1790.0,5887.8615,4
Wic Dairy,MILK,18998.329999999998,5024.0,15266.460277777778,9
Wic Dairy,NATURAL SHREDDED CHEESE,1033.73,265.0,855.95,3
Wic Dairy,NATURAL SLICED CHEESE,868.8800000000001,330.0,1155.99,2
Wic Dairy,YOGURT SPOONABLE,327.46,48.0,268.4,1
Wic Grocery,BABY FORMULA/ELECTROLYTE SOLUT,9405.93,382.0,8318.476666666667,7
Wic Grocery,PEANUT BUTTER,480.78000000000003,162.0,397.17,1
Wic Produce,AVOCADOES,1371.08,924.0,3.66,1
Wic Produce,BANANAS,5348.12,3723.0,37.230000000000004,1
Wic Produce,BROCCOLI,1784.27,450.0,4.5,1
Wic Produce,CABBAGE,737.7,288.0,2.88,1
Wic Produce,CALIFORNIA ORANGES,629.52,108.0,1.08,1
Wic Produce,CANTALOUPE,485.02000000000004,98.0,98.0,1
Wic Produce,CARROTS,1913.76,1084.0,470.2825,4
Wic Produce,CHERRIES,828.5,66.0,0.66,1
Wic Produce,CITRIS VARIETY,2557.67,918.0,157.3825,2
Wic Produce,CITRUS,984.21,1555.0,134.52,2
Wic Produce,COOKING VEGETABLES VARIETY,1777.09,351.0,3.5100000000000002,2
Wic Produce,CORN,1256.21,4095.0,765.0,1
Wic Produce,CUCUMBERS,1742.8400000000001,1164.0,489.91999999999996,2
Wic Produce,FRESH PREPARED VARIETY,349.21000000000004,59.0,98.33333333333334,1
Wic Produce,FRUIT PRECUT FRESH,9253.57,1542.0,515.37,8
Wic Produce,GRAPES,6340.87,936.0,790.5156944444444,5
Wic Produce,GREEN BEANS,373.69,156.0,1.56,1
Wic Produce,GREEN ONIONS,608.4399999999999,285.0,285.0,1
Wic Produce,ICEBURG LETTUCE,2224.38,937.0,937.0,1
Wic Produce,MELONS VARIETY,946.5200000000001,238.0,217.0,1
Wic Produce,MUSHROOMS,928.6700000000001,313.0,133.70083333333332,2
Wic Produce,ONIONS SWEET YELLOW,1858.5700000000002,1170.0,1104.66,2
Wic Produce,ONIONS VARIETY,1346.26,428.0,215.15,2
Wic Produce,ONIONS YELLOW,488.52000000000004,123.0,1.23,1
Wic Produce,ORGANIC SALADS,861.26,174.0,414.15625,2
Wic Produce,PEACHES,1300.81,341.0,3.41,1
Wic Produce,PEARS,315.9,112.0,1.12,1
Wic Produce,PEPPERS,3728.69,2325.0,16.990000000000002,5
Wic Produce,PLANTS AND FLOWERS,639.23,319.0,2.91,1
Wic Produce,POTATOES,346.37,73.0,451.50500000000005,1
Wic Produce,POTATOES VARIETY,1058.25,215.0,741.2950000000001,2
Wic Produce,PRODUCE MISC,376.62,38.0,38.0,1
Wic Produce,RED,305.88,62.0,62.0,1
Wic Produce,RUSSET,1300.39,531.0,376.9125,1
Wic Produce,RUSSET IDAHO,3316.85,1249.0,1088.7157,4
Wic Produce,SALAD VEGETABLES,315.43,107.0,1.07,1
Wic Produce,SALADS PRECUT FRESH,7112.72,2142.0,2832.1775000000002,13
Wic Produce,SQUASH,1144.28,454.0,32.26,2
Wic Produce,STRAWBERRIES,6044.9400000000005,2026.0,6303.82,2
Wic Produce,TOMATOES HOT HOUSE,2881.02,1318.0,1318.0,2
Wic Produce,TOMATOES PACKAGES,914.71,266.0,539.9066666666666,1
Wic Produce,TOMATOES ROMA,386.74,297.0,297.0,1
Wic Produce,TROPICAL FRUIT,497.32,148.0,147.0,1
Wic Produce,WASHINGTON BAGS,1206.0500000000002,245.0,371.1975,2
Wic Produce,WASHINGTON BULK,1767.1,320.0,120.41749999999999,2
Wic Produce,WATERMELON,3208.03,607.0,6.07,1
