product_code,total_sales,total_prev_week_1_sales,total_prev_week_2_sales,total_weeks,sales_trend
1200022151.0,192.36,158.01,123.66,7,Rising
1200022160.0,239.76,219.78,199.8,6,Rising
1200022163.0,149.85,139.86,119.88,7,Rising
1200022240.0,6.99,0.0,0.0,1,Almost
1200022242.0,27.96,20.97,0.0,2,Rising
1200022246.0,8.99,0.0,0.0,1,Almost
1200022250.0,35.96,26.97,0.0,2,Rising
1200022303.0,66.41,50.38,0.0,2,Rising
1200022305.0,129.87,119.88,0.0,2,Rising
1200022307.0,11.45,9.16,0.0,2,Rising
1200022309.0,99.9,89.91,0.0,2,Rising
1200023016.0,49.41,43.92,32.94,6,Rising
1200023020.0,27.45,10.98,0.0,2,Rising
1200023021.0,49.41,43.92,27.45,5,Rising
1200023043.0,9.56,4.78,0.0,2,Rising
1200023071.0,28.68,21.51,14.34,5,Rising
1200024014.0,52.64,49.35,39.48,6,Rising
1200024060.0,19.12,16.73,14.34,4,Rising
1200024072.0,54.96,52.67,45.8,6,Rising
1200024074.0,189.81,159.84,139.86,7,Rising
1200024075.0,130.53,116.79,103.05,5,Rising
1200024077.0,159.84,99.9,69.93,4,Rising
1200024082.0,159.84,149.85,109.89,7,Rising
1200028617.0,28.47,26.28,21.9,6,Rising
1200028619.0,41.61,28.47,24.09,5,Rising
1200028620.0,15.33,6.57,4.38,4,Rising
1200038419.0,3.98,1.99,0.0,2,Rising
1200050404.0,313.47,298.89,218.7,8,Rising
1200050405.0,7073.88,7066.89,6360.9,8,Rising
1200050408.0,6514.68,6493.71,5585.01,8,Rising
1200080994.0,2297.7,2177.82,1658.34,8,Rising
1200080996.0,3326.67,3086.91,2577.42,8,Rising
1200080997.0,899.1,699.3,609.39,7,Rising
1200080998.0,329.67,309.69,219.78,7,Rising
1200080999.0,479.52,469.53,399.6,8,Rising
1200081000.0,169.83,149.85,139.86,7,Rising
1200081002.0,279.72,249.75,169.83,8,Rising
1200081007.0,99.9,79.92,69.93,6,Rising
1200081119.0,992.58,873.75,726.96,7,Rising
1200081131.0,54.96,45.8,34.35,4,Rising
1200081331.0,136.44,125.07,98.54,8,Rising
1204400027.0,3.99,0.0,0.0,1,Almost
1204401069.0,7.75,0.0,0.0,1,Almost
1204401113.0,15.78,0.0,0.0,1,Almost
1204401560.0,24.87,16.58,8.29,3,Rising
1204401790.0,19.96,14.97,4.99,3,Rising
1204403000.0,8.29,0.0,0.0,1,Almost
1204403750.0,7.59,0.0,0.0,1,Almost
1204403752.0,15.18,7.59,0.0,2,Rising
1204403869.0,45.54,30.36,22.77,4,Rising
1204405666.0,6.59,0.0,0.0,1,Almost
1204438970.0,4.99,0.0,0.0,1,Almost
1254601107.0,7.56,3.78,1.89,3,Rising
1254743620.0,19.17,12.78,6.39,3,Rising
1258700010.0,2.49,0.0,0.0,1,Almost
1258700020.0,16.76,12.57,4.19,3,Rising
1258722277.0,25.98,12.99,0.0,2,Rising
1258755050.0,67.34,54.39,38.85,6,Rising
1258755052.0,33.67,28.49,25.9,6,Rising
1258757034.0,41.44,38.85,36.26,7,Rising
1258757035.0,41.44,28.49,20.72,5,Rising
1258757263.0,32.06,27.48,25.19,7,Rising
1258760030.0,64.35,55.77,51.48,5,Rising
1258760031.0,66.5,52.25,33.25,5,Rising
1258760032.0,38.0,28.5,23.75,5,Rising
1258760796.0,3.75,0.0,0.0,1,Almost
1258770045.0,9.18,4.59,0.0,2,Rising
1258770111.0,9.18,4.59,0.0,2,Rising
1258770240.0,3.69,0.0,0.0,1,Almost
1258770441.0,21.96,16.47,10.98,4,Rising
1258778082.0,3.75,0.0,0.0,1,Almost
1258778361.0,116.91,103.92,77.94,6,Rising
1258778414.0,7.5,3.75,0.0,2,Rising
1258778459.0,119.9,107.91,83.93,7,Rising
1258778812.0,25.95,20.76,0.0,2,Rising
1258779164.0,4.19,0.0,0.0,1,Almost
1258779166.0,12.57,8.38,4.19,3,Rising
1258779278.0,38.97,25.98,12.99,3,Rising
1258779310.0,51.96,25.98,12.99,3,Rising
1258779314.0,47.25,33.75,27.0,5,Rising
1280047048.0,16.99,0.0,0.0,1,Almost
1280049693.0,53.97,35.98,0.0,2,Rising
1280052289.0,9.59,0.0,0.0,1,Almost
1280052290.0,9.59,0.0,0.0,1,Almost
1280052293.0,11.99,0.0,0.0,1,Almost
1280052298.0,15.99,0.0,0.0,1,Almost
1280052304.0,9.99,0.0,0.0,1,Almost
1284461841.0,5.99,0.0,0.0,1,Almost
1284461842.0,5.99,0.0,0.0,1,Almost
1290000330.0,426.93,414.96,367.08,8,Rising
1290000700.0,707.5,695.54,611.82,8,Rising
1300000110.0,6.99,0.0,0.0,1,Almost
1300000112.0,26.95,19.25,7.7,3,Rising
1300000113.0,55.84,48.86,45.37,7,Rising
1300000121.0,216.09,174.93,133.77,7,Rising
1300000124.0,108.92,93.36,85.58,6,Rising
1300000137.0,45.37,41.88,31.41,4,Rising
1300000138.0,72.61,59.45,46.29,6,Rising
1300000143.0,4.69,0.0,0.0,1,Almost
1300000150.0,103.32,81.18,62.73,6,Rising
1300000179.0,4.85,0.0,0.0,1,Almost
1300000180.0,9.38,4.69,0.0,2,Rising
1300000211.0,38.93,36.64,29.77,7,Rising
1300000212.0,97.07,90.02,82.97,7,Rising
1300000218.0,52.02,49.13,46.24,7,Rising
1300000264.0,118.83,97.86,90.87,7,Rising
1300000269.0,8.9,4.45,0.0,2,Rising
1300000464.0,111.86,103.87,87.89,6,Rising
1300000466.0,875.7,834.0,806.2,7,Rising
1300000467.0,4.35,0.0,0.0,1,Almost
1300000605.0,329.81,307.45,229.19,7,Rising
1300000640.0,210.27,185.82,161.37,7,Rising
1300000712.0,4.35,0.0,0.0,1,Almost
1300000762.0,26.97,8.99,0.0,2,Rising
1300000799.0,22.45,17.96,8.98,3,Rising
1300000812.0,16.73,14.34,9.56,3,Rising
1300000814.0,42.9,25.74,21.45,4,Rising
1300000854.0,19.74,16.45,13.16,5,Rising
1300000897.0,4.49,0.0,0.0,1,Almost
1300000899.0,5.29,0.0,0.0,1,Almost
1300000986.0,47.34,39.45,23.67,3,Rising
1300001110.0,41.94,34.95,20.97,5,Rising
1300001445.0,32.34,26.95,21.56,4,Rising
1300001466.0,7.38,0.0,0.0,1,Almost
1300001509.0,18.75,12.5,0.0,2,Rising
1300001510.0,12.5,6.25,0.0,2,Rising
1300001512.0,18.75,12.5,6.25,3,Rising
1300062609.0,8.19,0.0,0.0,1,Almost
1300079800.0,99.63,95.94,81.18,8,Rising
1300079820.0,18.45,14.76,11.07,4,Rising
1300079830.0,3.69,0.0,0.0,1,Almost
1300079850.0,22.14,18.45,7.38,3,Rising
1300079890.0,66.42,59.04,44.28,7,Rising
1300079910.0,18.45,11.07,7.38,4,Rising
1312000026.0,227.37,206.7,179.14,6,Rising
1312000082.0,358.28,337.61,268.71,7,Rising
1312000133.0,220.48,199.81,186.03,7,Rising
1312000258.0,230.86,196.91,162.96,7,Rising
1312000286.0,325.92,298.76,258.02,7,Rising
1312000291.0,380.48,261.58,249.69,7,Rising
1312000392.0,203.7,196.91,156.17,6,Rising
1312000469.0,162.96,156.17,135.8,7,Rising
1312000483.0,108.64,81.48,61.11,6,Rising
1312000484.0,244.44,237.65,183.33,7,Rising
1312000800.0,325.92,305.55,264.81,8,Rising
1312000828.0,176.54,156.17,115.43,6,Rising
1312000833.0,210.49,190.12,162.96,7,Rising
1312001176.0,196.91,169.75,149.38,7,Rising
1312001203.0,285.36,225.91,214.02,7,Rising
1312001260.0,176.54,169.75,135.8,7,Rising
1312001261.0,275.6,261.82,227.37,8,Rising
1312001280.0,291.97,251.23,190.12,7,Rising
1312001417.0,319.13,278.39,251.23,7,Rising
1312004686.0,325.92,312.34,291.97,8,Rising
1313000612.0,32.95,26.36,19.77,4,Rising
1313000622.0,32.95,26.36,19.77,4,Rising
1313006025.0,38.94,32.45,25.96,4,Rising
1313006053.0,25.96,19.47,12.98,4,Rising
1320400601.0,22.99,0.0,0.0,1,Almost
1320410602.0,9.59,0.0,0.0,1,Almost
1330000001.0,15.75,12.6,9.45,4,Rising
1330000004.0,7.58,0.0,0.0,1,Almost
1330000009.0,19.53,16.74,8.37,3,Rising
1330000010.0,4.9,0.0,0.0,1,Almost
1330000031.0,14.85,11.55,4.95,3,Rising
1330000109.0,4.95,1.65,0.0,2,Rising
1330000132.0,19.8,13.2,4.95,5,Rising
1330000201.0,20.76,10.38,5.19,3,Rising
1330000960.0,4.49,0.0,0.0,1,Almost
1330000961.0,188.58,179.6,175.11,7,Rising
1330000962.0,35.92,26.94,8.98,3,Rising
1330005501.0,13.95,11.16,8.37,4,Rising
1330011144.0,6.38,3.19,0.0,2,Rising
1330012107.0,3.38,1.69,0.0,2,Rising
1330018301.0,5.98,0.0,0.0,1,Almost
1330020441.0,139.75,134.16,117.39,8,Rising
1330021321.0,11.18,5.59,0.0,2,Rising
1330028003.0,5.18,2.59,0.0,2,Rising
1330028063.0,7.78,0.0,0.0,1,Almost
1330028064.0,155.6,140.04,128.37,7,Rising
1330028066.0,23.34,15.56,11.67,4,Rising
1330028067.0,89.47,85.58,81.69,6,Rising
1330051305.0,10.8,5.4,2.7,3,Rising
1330051501.0,35.1,28.35,22.95,6,Rising
1330053101.0,6.75,0.0,0.0,1,Almost
1330053301.0,2.7,0.0,0.0,1,Almost
1330054601.0,3.3,1.65,0.0,2,Rising
1330054701.0,24.75,13.2,11.55,5,Rising
1330055105.0,6.6,4.95,1.65,3,Rising
1330055106.0,11.55,6.6,4.95,3,Rising
1330055284.0,28.49,25.9,23.31,6,Rising
1330055304.0,3.49,0.0,0.0,1,Almost
