category,category_description,sub_department,sub_department_description,total_sales,total_qty,distinct_products
36099.0,MISC WATER SOFT DRINKS MIXES,2.0,Taxable Grocery,754.6600000000001,93.0,1
72002.0,PIZZA SNACKS,7.0,Frozen Food,754.39,61.0,2
86010.0,CABBAGE,25.0,Wic Produce,737.7,288.0,1
91761.0,Smoked Meats Entrees,9.0,Meat,736.9000000000001,100.0,2
90741.0,Frozen Meat Sausage,9.0,Meat,736.1300000000001,148.0,2
91371.0,SMOKED MEATS PEPPERONI,9.0,Meat,678.65,125.0,2
91501.0,Smoked Meat Lunch Meats,9.0,Meat,668.94,96.0,2
9007.0,KEEBLER CRACKERS,1.0,Grocery,655.36,158.0,2
876713.0,TRIMMERS/EDGERS/BLOWERS (ACE),876.0,Outdoor Equipment and Power To,648.0,2.0,2
76200.0,T/S BREADS/ROLLS,13.0,Cold Deli,642.78,72.0,1
71002.0,PREMIUM PIZZA,7.0,Frozen Food,639.36,64.0,2
130000.0,PLANTS AND FLOWERS,25.0,Wic Produce,639.23,319.0,1
21001.0,SPORT DRINKS-LIQUID,45.0,Soft Drinks,632.73,87.0,2
82040.0,CALIFORNIA ORANGES,25.0,Wic Produce,629.52,108.0,1
90381.0,Fresh Meat Pork Misc.,9.0,Meat,624.42,28.0,1
820278.0,TOOL BOXES (ACE),820.0,Hand Tools and Tool Accessorie,619.98,2.0,2
26003.0,PAPER TOWELS,3.0,Nonfood,617.58,38.0,1
4001.0,PACKAGED CANDY,2.0,Taxable Grocery,617.57,91.0,1
50002.0,NATURAL SLICED CHEESE,6.0,Dairy,616.3,233.0,2
87080.0,GREEN ONIONS,25.0,Wic Produce,608.4399999999999,285.0,1
54003.0,BISCUIT DOUGH,6.0,Dairy,607.26,178.0,2
8007.0,BARBECUE SAUCES,1.0,Grocery,579.02,246.0,1
29012.0,MAC & CHEESE DRY DINNERS,1.0,Grocery,575.55,435.0,1
77205.0,TURKEY BREAST,13.0,Cold Deli,548.19,66.0,1
50004.0,GRATED CHEESE,6.0,Dairy,510.38000000000005,142.0,1
78000.0,TROPICAL FRUIT,25.0,Wic Produce,497.32,148.0,1
6002.0,MILK ADDITIVES LIQUID,1.0,Grocery,494.39000000000004,126.0,1
88015.0,ONIONS YELLOW,25.0,Wic Produce,488.52000000000004,123.0,1
81010.0,CANTALOUPE,25.0,Wic Produce,485.02000000000004,98.0,1
89050.0,RUSSET IDAHO,20.0,Produce by #,484.33,263.0,1
19001.0,PEANUT BUTTER,23.0,Wic Grocery,480.78000000000003,162.0,1
97001.0,CHARCOAL INSTANT LIGHT,3.0,Nonfood,472.77,37.0,1
97003.0,CHARCOAL LARGE BAG,3.0,Nonfood,459.75,42.0,1
73030.0,ECONOMY ICE CREAM,7.0,Frozen Food,455.44,64.0,1
880877.0,BIRD PRODUCTS (ACE),880.0,Sporting Goods,440.7,30.0,1
90721.0,Frozen Meat Sausage & Biscuits,9.0,Meat,440.27,33.0,1
67005.0,MULIT SERVE ECOMONY MEALS,7.0,Frozen Food,440.15999999999997,106.0,1
8005.0,MEAT SAUCE,1.0,Grocery,435.74,140.0,1
67004.0,SINGLE SERVE PREMIUM MEALS,7.0,Frozen Food,422.45000000000005,71.0,1
90040.0,DRESSINGS,11.0,Produce,418.66,84.0,1
32002.0,COOKING OIL,1.0,Grocery,415.61,39.0,1
76210.0,T/S DONUTS,13.0,Cold Deli,406.51,134.0,1
33005.0,PRETZELS,1.0,Grocery,402.81,74.0,1
130010.0,GREEN PLANTS,29.0,Floral,401.78,22.0,1
220002.0,HALF & HALF,6.0,Dairy,400.59000000000003,96.0,1
26002.0,TOILET TISSUE,3.0,Nonfood,397.18,32.0,1
57001.0,100% JUICE,6.0,Dairy,391.06,44.0,1
100015.0,TOMATOES ROMA,25.0,Wic Produce,386.74,297.0,1
999994.0,PRODUCE MISC,25.0,Wic Produce,376.62,38.0,1
86015.0,GREEN BEANS,25.0,Wic Produce,373.69,156.0,1
71099.0,MISC PIZZA,7.0,Frozen Food,371.55,85.0,1
5002.0,CEREAL RTE ALL FAMILY,1.0,Grocery,364.28000000000003,107.0,1
225001.0,NON-DAIRY TOPPINGS,6.0,Dairy,361.94,96.0,1
91551.0,Smoked Meats Shaved Lunchmeats,9.0,Meat,352.19,61.0,1
41001.0,CORN,1.0,Grocery,349.74,387.0,1
110005.0,FRESH PREPARED VARIETY,25.0,Wic Produce,349.21000000000004,59.0,1
999995.0,DELI HOT MISC,13.0,Cold Deli,348.8,40.0,1
89000.0,POTATOES,25.0,Wic Produce,346.37,73.0,1
220005.0,NATURAL/ORGANIC/SPECIALTY,6.0,Dairy,343.31,69.0,1
19001.0,PEANUT BUTTER,1.0,Grocery,343.04,46.0,1
90361.0,Fresh Meat Pork Spare Rib,9.0,Meat,342.59,44.0,1
51003.0,PROCESSED LOAVES,6.0,Dairy,336.87,43.0,1
110000.0,SALADS PRECUT FRESH,11.0,Produce,334.84000000000003,56.0,1
57002.0,DRINKS/PUNCH/ADES,6.0,Dairy,333.19,65.0,1
74010.0,WATER ICE/FRUIT,7.0,Frozen Food,332.29,59.0,1
72007.0,TRADITIONAL SANDWICHES,7.0,Frozen Food,331.26,26.0,1
55004.0,YOGURT SPOONABLE,24.0,Wic Dairy,327.46,48.0,1
91301.0,Smoked Meat Sausage,21.0,Meat by #,326.91,84.0,1
80060.0,PEARS,25.0,Wic Produce,315.9,112.0,1
87000.0,SALAD VEGETABLES,25.0,Wic Produce,315.43,107.0,1
24013.0,SLOPPY JOE MIXES,1.0,Grocery,315.27,197.0,1
96003.0,ANT BAITS,870.0,Lawn/Garden/Farm Supplies,315.25,37.0,1
8015.0,MEXICAN SAUCES SALSA/PICANTE,1.0,Grocery,315.09,68.0,1
26010.0,DISPOSABLE DISHES,3.0,Nonfood,313.18,42.0,1
91421.0,Holiday Hams,9.0,Meat,311.78000000000003,22.0,1
33099.0,MISC SNACKS,1.0,Grocery,311.40000000000003,60.0,1
850510.0,KEYS (ACE),850.0,Hardware,311.22,78.0,1
90761.0,Frozen Meat Breaded Chicken,9.0,Meat,310.54,26.0,1
36003.0,POWERED BEVERAGE MIXES,1.0,Grocery,310.32,72.0,1
90901.0,Frozen Poultry,9.0,Meat,309.68,32.0,1
999996.0,DELI MISC,12.0,Hot Deli,309.02,51.0,1
91801.0,Cheese,9.0,Meat,307.74,26.0,1
54002.0,BREAD ROLLS BUN DOUGH,6.0,Dairy,306.68,94.0,1
89010.0,RED,25.0,Wic Produce,305.88,62.0,1
870753.0,WEED CONTROL PRODUCTS (ACE),870.0,Lawn/Garden/Farm Supplies,305.09,11.0,1
29014.0,PASTA SALADS DRY,1.0,Grocery,304.22,144.0,1
41003.0,GREEN BEANS,1.0,Grocery,299.26,306.0,1
20001.0,TOMATO JUICE,1.0,Grocery,293.46999999999997,93.0,1
73070.0,SINGLE SERVE,7.0,Frozen Food,292.36,64.0,1
67007.0,MULTI SERVE PREMIUM MEALS,7.0,Frozen Food,291.61,19.0,1
