"sale_date","sale_id","product_code","product_description","qty","total_sales","sub_department_description","sale_type","item_ring_type"
"2025-05-15 00:00:00","174210","7273026110.0","PRAIRIE FARMS CHOCOLATE 128 OZ","1","6.79","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","106356","7273021307.0","PF WHOLE MILK 32 OZ","1","2.45","Wic Dairy","Sale","ITEM"
"2025-05-15 00:00:00","106305","7273026110.0","PRAIRIE FARMS CHOCOLATE 128 OZ","1","6.79","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479783","7273022110.0","PRAIRIE FARM 2% MILK GL 128 OZ","1","5.79","Wic Dairy","Sale","ITEM"
"2025-05-15 00:00:00","174203","7273003702.0","PRAIRIE FARMS SWEET TEA 128 OZ","1","3.89","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","174125","7265500124.0","HC STMR CHICKEN BROCCOLI 9.15 OZ","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","174162","7265545442.0","HC STMR CHICKEN FETT 10 OZ","1","3.79","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","479724","7248600220.0","JIFFY CORN MUFFIN MIX 8.5 OZ","1","1.09","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374560","7239277080.0","POP ICE ASST ICE POP 80 CT","-1","-8.79","Grocery","Refunded","ITEM"
"2025-05-15 00:00:00","124214","7232011297.0","STAUF CHEDDAR WHALE 12 OZ","1","3.85","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479710","7203001570.0","ENTENMANNS BAG PWD DNT 12 CT","1","3.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124329","7172087000.0","TOOTSIE DOTS THTR BOX 6.5 OZ","1","1.59","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124271","7192187354.0","DIGRNO RSNC SAUS PEP 27.3 OZ","1","6.49","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","149866","7184618835.0","YELOWSTN CHILI NO BN 15 OZ","1","3.09","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479635","7181700243.0","BIG RED ZERO PET 0.5L 6 PK","1","3","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","479725","7172000769.0","TOOTSIE ROLL POPS BOG 10.13 OZ","1","4.99","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479674","7154902209.0","CPN: INSECT KILLER  RTU 1.1GAL","0","-6","Lawn/Garden/Farm Supplies","Sale","ITEM"
"2025-05-15 00:00:00","479587","7143001135.0","DOLE GARDEN  SALAD 12 OZ","1","2.99","Wic Produce","Sale","ITEM"
"2025-05-15 00:00:00","374516","7143000965.0","DOLE GREENER SELECT 11 OZ","1","3.49","Wic Produce","Sale","ITEM"
"2025-05-15 00:00:00","149819","7143000910.0","DOLE ROMAINE PREMIUM 9 OZ","1","3.99","Wic Produce","Sale","ITEM"
"2025-05-15 00:00:00","479738","7111719003.0","RESERS MUSTARD POTATO SALAD 16 OZ","1","3","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","149859","7111719007.0","RESER MACARONI SALAD 16 OZ","1","3.99","Cold Deli","Sale","ITEM"
"2025-05-15 00:00:00","479731","7084702290.0","MONSTER ENERGY PUNCH 16 OZ","1","3.49","Soft Drinks","Sale","ITEM"
"2025-05-15 00:00:00","124333","7064002007.0","BL RIBBON C CHOCOLATE R FAT 48 OZ","1","4.75","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","479645","7080004103.0","JAMESTOWN BRND SLCD BCN 1 LB","1","2.99","Meat","Sale","ITEM"
"2025-05-15 00:00:00","149818","7064030007.0","BL RIBBON C FUDGE BAR 20 CT 45 OZ","1","5.49","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","374556","7080004103.0","JAMESTOWN BRND SLCD BCN 1 LB","1","2.99","Meat","Sale","ITEM"
"2025-05-15 00:00:00","149747","7080004103.0","JAMESTOWN BRND SLCD BCN 1 LB","1","2.99","Meat","Sale","ITEM"
"2025-05-15 00:00:00","124207","7047020418.0","YOP ORG CHERRY CHOC 6 OZ","1","0.99","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479771","7045900573.0","NY FIVE CHEESE TOAST 8 CT","1","5.39","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","174081","7046203598.0","SWEDISH FISH PEG BAG 8 OZ","1","3.39","Taxable Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124299","7045900910.0","NY GARLIC BREADSTICK 6 CT","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","174137","7045900910.0","NY GARLIC BREADSTICK 6 CT","1","3.99","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","479780","7027223202.0","REDI WIP REAL CREAM TOP 6.5 OZ","1","3.99","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479633","7009030410.0","CRYSTAL GRAN SUGAR 4 LB","1","4.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","174190","7020053005.0","MARZ DIP CREAM CHEESE 13.5 OZ","1","4.99","Produce","Sale","ITEM"
"2025-05-15 00:00:00","174186","7020084703.0","SUBWAY SAUCE GARLIC AIOLI 16 OZ","1","3.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479730","7003867129.0","BST CH SR CR ON CHIPS 7.75 OZ","1","2.25","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106320","7003866964.0","BST CH DP DSH PIE SH 12 OZ","1","3.59","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","479680","7003866824.0","AL SAVE FRSTD FLAKE 26.8 OZ","1","3.29","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106290","7003865478.0","AS GRAHAM PIE CRST 6 OZ","1","1.65","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124328","7003865257.0","CL ORG LG BROWN EGG 1 DZ","1","5.69","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","124197","7003862773.0","BCSS FETA CRMB 4 OZ","1","3.75","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","106316","7003862195.0","BC SANDWICH 20 OZ","1","1.89","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479634","7003859125.0","BST CH SOUP SIRLOIN BURGER 18.8 OZ","1","2.69","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106335","7003860558.0","BST CH SHRED FANCY MEXICAN 32 OZ","1","10.99","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","149844","7003861231.0","BST CH COTTAGE CHEESE 4% 16 OZ","1","3.15","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","479609","7003861298.0","BST CH ACTIVE YEAST 3 PK","1","1.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","174152","7003861336.0","BST CH TORTILLA BURRITO 8 CT","1","2.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124326","7003838659.0","BST CH LARGE GRADE EGGS 2.5 DZ","1","9.99","Dairy","Sale","ITEM"
"2025-05-15 00:00:00","149791","7003858419.0","AS FUDGE GRAMHAM COOKIE 13 OZ","1","1.99","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149764","7003837281.0","BST CH GR A JMBO EGG 1 DZ","1","4.19","Wic Dairy","Sale","ITEM"
"2025-05-15 00:00:00","106370","7003834818.0","BST CH WHOLE KERNAL CORN 15.25 OZ","1","1.35","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106367","7003837280.0","BST CH GR A LARGE EGG 1 DZ","1","3.99","Wic Dairy","Sale","ITEM"
"2025-05-15 00:00:00","106333","7003835086.0","AS FROZEN WHIP TOPPING 8 OZ","1","1.15","Frozen Food","Sale","ITEM"
"2025-05-15 00:00:00","124281","7003834761.0","BST CH MIXED VEG 15 OZ","1","1.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","479764","7003834340.0","AS WATER DISTILLED 128 OZ","1","1.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124260","7003831381.0","AL SAVE FLOUR ALL PURPOSE 5 LB","1","2.69","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","374529","7003833151.0","AS KOSHER DILLS WHOLE 32 OZ","1","2.49","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149886","7003830720.0","AS MUSTARD SQZ 20 OZ","1","1.25","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","149809","7003831131.0","BC HOT DOG BUNS 8 CT 11 OZ","1","1.69","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","124237","6958869086.0","WESSON CANOLA OIL 40 OZ","1","5.89","Grocery","Sale","ITEM"
"2025-05-15 00:00:00","106395","6827434225.0","NPL SPLASH ACAIGRAPE 101.4 OZ","1","3.69","Taxable Grocery","Sale","ITEM"
