transaction_date,store,terminal,customer_number,transaction_number,points
3/2/2025,461,2,44000238910,399973,45
3/2/2025,461,4,40000020612,178338,20
3/2/2025,461,2,40000020173,399975,51
3/2/2025,461,2,41461003986,399978,133
3/2/2025,461,4,40000022524,178343,83
3/2/2025,461,2,40000028282,399980,47
3/2/2025,461,4,40000031859,178342,7
3/2/2025,461,2,40000028390,399981,3
3/2/2025,461,4,44000224764,178351,77
3/2/2025,461,2,41461005117,399985,106
3/2/2025,461,2,40000020006,399992,13
3/2/2025,461,2,40000029032,399990,65
3/2/2025,461,2,40000028847,399993,43
3/2/2025,461,2,40000021088,400003,22
3/2/2025,461,2,40000021138,400007,45
3/2/2025,461,2,44000116458,400009,122
3/2/2025,461,4,41461004598,178361,88
3/2/2025,461,2,40000020390,400012,177
3/2/2025,461,4,40000020263,178362,67
3/2/2025,461,4,44000317596,178368,4
3/2/2025,461,4,40000020931,178371,83
3/2/2025,461,2,40000020275,400023,36
3/2/2025,461,4,40000020300,178374,9
3/2/2025,461,2,40000020173,400011,6
3/2/2025,461,2,44000323047,400015,11
3/2/2025,461,2,40000020944,400017,28
3/2/2025,461,4,40000020051,178376,30
3/2/2025,461,4,44000224764,178377,3
3/2/2025,461,2,44000224764,400034,19
3/2/2025,461,2,44000283924,400031,32
3/2/2025,461,4,40000021741,178385,112
3/2/2025,461,4,44000297832,178387,112
3/2/2025,461,4,40000021248,178392,57
3/2/2025,461,4,40000020244,178394,71
3/2/2025,461,4,44000058650,178395,21
3/2/2025,461,4,40000020004,178386,18
3/2/2025,461,4,40000020150,178391,24
3/2/2025,461,4,44000061729,178393,25
3/2/2025,461,2,44000335109,400066,27
3/2/2025,461,4,41461001699,178402,16
3/2/2025,461,4,41461005354,178406,17
3/2/2025,461,2,44000275863,400052,36
3/2/2025,461,4,44000115299,178388,21
3/2/2025,461,2,40000021228,400064,48
3/2/2025,461,2,41461005353,400069,56
3/2/2025,461,2,40000020831,400074,17
3/2/2025,461,2,40000020467,400065,47
3/2/2025,461,4,44000057851,178401,55
3/2/2025,461,4,40000020380,178411,14
3/2/2025,461,2,40000027849,400078,17
3/2/2025,461,2,40000050137,400079,93
3/2/2025,461,3,40000021601,181372,11
3/2/2025,461,2,40000028159,400083,62
3/2/2025,461,3,40000008556,181370,35
3/2/2025,461,3,44000308503,181371,34
3/2/2025,461,3,44000098369,181374,58
3/2/2025,461,2,40000020063,400090,8
3/2/2025,461,2,40000020165,400104,6
3/2/2025,461,3,44000298847,181380,4
3/2/2025,461,2,40000028787,400113,26
3/2/2025,461,2,41461005355,400117,17
3/2/2025,461,2,40000020460,400123,9
3/2/2025,461,2,40000022516,400124,8
3/2/2025,461,2,40000021005,400095,78
3/2/2025,461,2,40000020165,400105,45
3/2/2025,461,2,40000020390,400115,3
3/2/2025,461,2,40000020125,400118,63
3/2/2025,461,2,41461001904,400122,8
3/2/2025,461,2,41461005356,400131,20
3/2/2025,461,2,40000021149,400112,16
3/2/2025,461,2,44000346070,400116,74
3/2/2025,461,2,44000238962,400133,95
3/2/2025,461,2,41453014890,400139,81
3/2/2025,461,2,40000020285,400138,139
3/2/2025,461,2,40000020818,400157,47
3/2/2025,461,2,44000286879,400158,7
3/2/2025,461,2,40000020966,400163,107
3/2/2025,461,2,40000021147,400166,21
3/2/2025,461,2,44000366533,400140,105
3/2/2025,461,3,44000101500,181382,35
3/2/2025,461,3,40000020377,181383,33
3/2/2025,461,2,44000362287,400143,104
3/2/2025,461,2,41461000330,400148,17
3/2/2025,461,2,40000020507,400151,24
3/2/2025,461,2,41461005357,400153,28
3/2/2025,461,2,40000021679,400156,21
3/2/2025,461,2,40000022520,400161,15
3/2/2025,461,2,44000198202,400164,26
3/2/2025,461,2,40000022520,400165,2
3/2/2025,461,2,44000294543,400177,18
3/2/2025,461,2,40000015303,400179,61
3/2/2025,461,2,40000020219,400180,24
3/2/2025,461,2,40000023039,400182,46
3/2/2025,461,2,44000283084,400191,24
3/2/2025,461,2,40000020967,400192,31
3/2/2025,461,2,40000015303,400181,5
3/2/2025,461,3,44000365494,181404,10
3/2/2025,461,3,40000020361,181407,22
3/2/2025,461,3,40000021353,181411,5
3/2/2025,461,3,40000021679,181414,49
3/2/2025,461,3,44000295298,181419,43
3/2/2025,461,4,44000059431,178419,2
3/2/2025,461,3,44000345282,181420,37
3/2/2025,461,3,40000020907,181402,26
3/2/2025,461,4,44000358477,178418,67
3/2/2025,461,3,40000006951,181403,40
3/2/2025,461,3,40000029386,181410,7
3/2/2025,461,3,44000116172,181412,41
3/2/2025,461,4,41461002488,178415,165
3/3/2025,461,1,44000359597,362634,56
3/3/2025,461,1,40000020795,362638,17
3/3/2025,461,2,40000020173,400195,38
3/3/2025,461,2,44000334601,400201,40
3/3/2025,461,2,40000022524,400202,16
3/3/2025,461,2,40000020418,400203,1
3/3/2025,461,2,40000020026,400208,58
3/3/2025,461,2,44000364795,400210,10
3/3/2025,461,2,40000027919,400212,3
3/3/2025,461,2,40000020441,400215,78
3/3/2025,461,2,44000307434,400206,19
3/3/2025,461,2,40000029899,400223,69
3/3/2025,461,2,44000105234,400224,178
3/3/2025,461,2,40000022501,400227,4
3/3/2025,461,2,44000196205,400241,49
3/3/2025,461,2,44000196205,400242,107
3/3/2025,461,2,40000020790,400245,91
3/3/2025,461,2,40000020009,400247,21
3/3/2025,461,4,41461002145,178422,31
3/3/2025,461,2,40000028764,400254,39
3/3/2025,461,1,40000020263,362641,88
3/3/2025,461,4,40000021918,178426,7
3/3/2025,461,4,44000291227,178427,8
3/3/2025,461,4,40000028578,178430,101
3/3/2025,461,4,40000020063,178425,23
3/3/2025,461,2,40000028764,400255,39
3/3/2025,461,2,40000020994,400257,7
3/3/2025,461,2,40000020696,400267,9
3/3/2025,461,4,40000020961,178451,10
3/3/2025,461,2,40000029350,400288,63
3/3/2025,461,2,40000020009,400290,12
3/3/2025,461,2,40000022501,400275,4
3/3/2025,461,2,40000021293,400283,17
3/3/2025,461,4,40000020762,178459,73
3/3/2025,461,2,1.92009E+13,400287,4
3/3/2025,461,4,40000027858,178463,79
3/3/2025,461,2,2.43269E+13,400308,25
3/3/2025,461,2,40000028707,400313,9
3/3/2025,461,2,41450012170,400314,11
3/3/2025,461,4,40000021332,178464,18
3/3/2025,461,2,40000027924,400298,16
3/3/2025,461,2,41461005169,400302,36
3/3/2025,461,2,40000029113,400315,143
3/3/2025,461,4,44000098369,178467,28
3/3/2025,461,2,1.9201E+13,400320,48
3/3/2025,461,2,40000020964,400325,1
3/3/2025,461,2,44000098442,400328,23
3/3/2025,461,4,41461001318,178472,31
3/3/2025,461,2,40000016331,400341,28
3/3/2025,461,2,40000029386,400340,81
3/3/2025,461,4,40000028378,178476,27
3/3/2025,461,2,41461002859,400345,109
3/3/2025,461,2,41461003395,400346,13
3/3/2025,461,4,40000020173,178480,6
3/3/2025,461,4,44000260005,178482,18
3/3/2025,461,2,40000020063,400350,16
3/3/2025,461,4,40000021695,178484,4
3/3/2025,461,4,40000020309,178489,12
3/3/2025,461,2,44000350493,400356,10
3/3/2025,461,4,40000020173,178494,2
3/3/2025,461,4,40000020057,178486,39
3/3/2025,461,2,1.54401E+13,400355,19
3/3/2025,461,4,40000028442,178491,24
3/3/2025,461,2,40000020523,400360,35
3/3/2025,461,2,41451003983,400364,55
3/3/2025,461,2,40000020150,400371,18
3/3/2025,461,2,40000022501,400372,14
3/3/2025,461,2,40000028208,400376,98
3/3/2025,461,2,40000021670,400377,10
3/3/2025,461,4,44000257002,178513,52
3/3/2025,461,4,44000299859,178500,25
3/3/2025,461,3,40000022538,181426,50
3/3/2025,461,2,44000063253,400366,138
3/3/2025,461,4,44000110268,178501,68
3/3/2025,461,4,44000283924,178509,22
3/3/2025,461,4,40000021638,178512,24
3/3/2025,461,2,44000323352,400380,57
3/3/2025,461,3,40000021073,181427,23
3/3/2025,461,2,40000028905,400393,54
3/3/2025,461,2,40000028394,400396,20
3/3/2025,461,2,40000021647,400398,37
3/3/2025,461,2,40000021074,400400,3
3/3/2025,461,2,44000100629,400403,13
3/3/2025,461,2,40000020606,400404,23
3/3/2025,461,2,40000021918,400405,39
3/3/2025,461,3,44000095658,181435,29
3/3/2025,461,2,40000021667,400417,166
3/3/2025,461,3,40000020751,181441,15
3/3/2025,461,3,41461003909,181442,117
3/3/2025,461,2,40000020030,400408,28
3/3/2025,461,3,40000008483,181434,9
3/3/2025,461,4,40000020377,178519,13
3/3/2025,461,2,40000020950,400412,18
3/3/2025,461,2,41461002310,400414,19
3/3/2025,461,2,44000315248,400416,21
3/3/2025,461,3,40000020460,181438,16
3/3/2025,461,3,40000021608,181439,28
3/3/2025,461,2,41461002802,400421,12
3/3/2025,461,4,44000250179,178523,29
3/3/2025,461,2,40000020490,400427,17
3/3/2025,461,2,41461004425,400438,12
3/3/2025,461,3,40000020312,181450,120
3/3/2025,461,2,40000021540,400425,28
